Item Description,Unit Price ($),Quantity Ordered,Total Price ($),Amazon Link
Lizusidtsy 200PCS SK6812-E RGB Reverse-Mount SMD LEDs,8.87,1,8.87,https://www.amazon.com/dp/B0D62PYX62
EEEEE 1N4148 Through-Hole Switching Diodes (150pcs),5.99,1,5.99,https://www.amazon.com/dp/B0FC289DVH
Fgruh 1120PCS M3 Socket Cap Screws Assortment Kit (Alloy Steel),9.99,1,9.99,https://www.amazon.com/dp/B0FGV5FCBN
"DUROCK Stabilizer V3, PCB Mount Screw-in (Smokey 100% Kit)",22.99,1,22.99,https://www.amazon.com/dp/B0B2RXR22X
"DUROCK MX Hotswap PCB Sockets (Black, 110pcs)",12.99,1,12.99,https://www.amazon.com/dp/B0B4W9YMGM
"HONKID Keyboard Plate Foam, Sound Dampening Poron (Black, 3mm)",12.99,1,12.99,https://www.amazon.com/dp/B0B4JXKNDQ
"HONKID Keyboard Case Foam, Sound Dampening Poron (Black, 2mm)",11.99,1,11.99,https://www.amazon.com/dp/B0B151N6V4
"GUNMJO Pro Custom Coiled USB C Cable with Aviator (White, 1.5M)",19.99,1,19.99,https://www.amazon.com/dp/B09F5YBH6Z
New Fashion Kingdom Stainless Steel Keycap & Switch Puller Kit,5.98,1,5.98,https://www.amazon.com/dp/B08TSSJ8Q3
"Womier PBT Custom Blue Keycaps Set (Cherry Profile, 138 Keys)",16.99,1,16.99,https://www.amazon.com/dp/B0D3BW6R11
Akko V3 Creamy Blue Pro Tactile Switches (45pcs per box),10.39,3,31.17,https://www.amazon.com/dp/B0C3H7PR1Z
Orpheus Pico (RP2040),??,1,??,??
